id,name,type,is_deceased,date_of_birth,date_of_death
m.02x5h_c,Chris Morgan,people.person,false,1976-01-11,null
m.012hf2wx,Alan Mansley,people.person,true,1946-08-31,2001-02-04
m.02pyzsk,Lawney Reyes,people.person,false,1931-01-01,null
m.02pwrgb,Marcel Aubour,people.person,false,1940-06-17,null
m.03bz3mg,Robbie Davis,people.person,false,1961-07-18,null
m.05c2cg6,Albert Bouvet,people.person,false,1930-02-28,null
m.03d84hz,Ted Ballard,people.deceased_person,true,1920-06-16,2008-06-01
m.07fsb0,Julie Dawn Cole,people.person,false,1957-10-26,null
m.055708w,Alex Vieira,people.person,false,1971-12-28,null
m.02rr6mk,Tim Sandercombe,people.deceased_person,true,1989-06-15,2014-08-25
m.025z5dj,Frederick Toone,people.deceased_person,true,1868-06-25,1930-06-10
m.05s_127,Gene DeWeese,people.deceased_person,true,1934-01-31,2012-03-19
m.047pfbr,Carla White,people.deceased_person,true,1951-09-15,2007-05-09
m.05254rm,Jamilla Obispo,people.person,false,1986-01-01,null
m.041dld,Lars Olsson Smith,people.deceased_person,true,1836-10-12,1913-12-09
m.011s9mzh,Olga Levitskaya,people.person,true,1951-02-16,2004-05-17
m.03j23gd,Don Kirkpatrick,people.person,true,1905-06-17,1956-05-13
m.027f71j,Piotr,people.deceased_person,true,1926-12-03,2007-11-19
m.0466sv8,Justo Daract,people.deceased_person,true,1804-01-01,1887-01-01
m.011kf1wt,Keith Mitchell,people.person,false,1967-08-15,null
m.01pn8r_,Pekka Ruuska,people.person,false,1958-10-11,null
m.050_8rg,John Cheesman,people.person,false,1962-01-01,null
m.011f8gpf,Iblis,people.person,false,1972-07-10,null
m.03yn7gp,Josh Taumalolo,people.person,false,1976-07-08,null
m.05s2fb,Jaume Bartumeu Cassany,people.person,false,1954-11-10,null
m.07mccfv,Francis Amat,people.person,false,1966-10-16,null
m.05c32mt,Lindsay Posner,people.person,false,1959-06-06,null
m.01wqbl6,Luciano Virgili,people.person,false,1922-01-01,null
m.03ctgy8,Parfait Bitee,people.person,false,1985-07-23,null
m.0306gw,Kelli Williams,people.person,false,1970-06-08,null
m.04211l1,Malek Hassoun,people.person,false,1975-06-08,null
m.05vch0q,Edwin Torres,people.person,false,1958-01-01,null
